label,area,perim,circ,intensity,layer
1,19,14.449747468305834,1.143517856266062,102.6842105263158,empty
2,81,31.556349186104043,1.0221658721171678,244.93827160493828,l1
3,91,33.55634918610404,1.0155512530166595,253.67032967032966,l1
4,75,28.727922061357855,1.1419910483564089,236.94666666666666,l1
5,23,15.071067811865476,1.27247615308253,105.08695652173913,l1
6,48,24.556349186104043,1.0002844114037333,245.10416666666666,l1
7,39,21.899494936611664,1.0218949976689091,83.05128205128206,l1
8,52,24.727922061357855,1.0686560805681522,183.5,l23
9,61,25.899494936611667,1.1427654694154907,135.78688524590163,l23
10,35,20.48528137423857,1.0480790531023694,118.51428571428572,l23
11,46,24.14213562373095,0.9917822353928708,132.7391304347826,l1
12,68,29.31370849898476,0.994436936676639,215.63235294117646,l23
13,50,24.727922061357855,1.0275539236232232,105.32,l23
14,89,33.55634918610404,0.9932314452580517,227.57303370786516,l23
15,66,27.31370849898476,1.111712424183585,239.0,l23
16,69,27.31370849898476,1.1622448071010205,249.85507246376812,l23
17,45,21.899494936611667,1.179109612694895,81.64444444444445,l23
18,23,15.071067811865474,1.2724761530825304,125.0,l1
19,22,15.071067811865476,1.217151102948507,92.54545454545455,l23
20,48,24.72792206135785,0.9864517666782945,198.3125,l1
21,53,24.48528137423857,1.1109014545493183,131.16981132075472,l23
22,33,19.071067811865476,1.1401809566205188,83.63636363636364,empty
23,75,29.31370849898476,1.09680544486394,216.14666666666668,l23
24,68,28.727922061357855,1.0354052171764774,221.76470588235293,l23
25,31,19.071067811865476,1.0710790804616994,150.80645161290323,l23
26,44,21.899494936611664,1.1529071768572308,150.4318181818182,l23
27,50,24.14213562373095,1.0780241689052945,73.8,l23
28,44,22.48528137423857,1.0936185984037976,185.8409090909091,l23
29,112,36.72792206135786,1.0433623724069068,192.34821428571428,l23
30,35,20.485281374238568,1.0480790531023698,139.28571428571428,l23
31,48,24.727922061357855,0.9864517666782943,99.1875,l1
32,94,33.55634918610404,1.0490309646545715,251.4468085106383,l23
33,54,25.31370849898476,1.05899052529708,86.5925925925926,l23
34,69,28.72792206135785,1.0506317644878964,93.97101449275362,l23
35,68,27.899494936611664,1.0978072487376416,84.69117647058823,l23
36,55,25.313708498984763,1.0786014609507293,113.07272727272728,l23
37,60,26.727922061357855,1.0554331285614569,168.08333333333334,l23
