m,s,k,l
0.9683702452503771,1.2706676667744905,0.7466681451810149,l6
2.096030403574543,1.288096712029643,0.5368452110882184,l5
3.2081691112014163,0.8797159591551498,0.39894289336027866,l4
4.517119064259853,1.3491073192621,0.8638512201233266,l23
