,layer,label,surface,dist
0,l6,5022,7.904481086449265,1037.4203120024818
1,l6,5096,104.42235540519819,1036.686187729719
2,l6,5110,136.04027975099524,1036.489926574844
3,l6,5147,143.52873551710508,1036.469470071235
4,l6,5151,101.09415284248271,1038.7457861721202
5,l6,5159,89.02941855263909,1028.5849409241484
6,l6,5171,159.75372301034304,1038.1891190356596
7,l6,5193,111.91081117130801,1027.4422335229522
8,l6,5215,8.3205064067887,1021.728500995232
9,l6,5232,125.22362142216994,1038.2104834744848
10,l6,5258,174.7306345425627,1027.2316320739162
11,l6,5268,86.53326663060248,1036.5311270244051
12,l6,5269,209.2607361307358,1028.577075464574
13,l6,5270,228.81392618668926,1015.1592813002288
14,l6,5278,133.54412782895864,1022.6233760139634
15,l6,5287,125.22362142216994,1041.9780212944192
16,l6,5288,197.1960018408922,1024.7109604874734
17,l6,5330,89.44544387297853,1041.4194054663465
18,l6,5337,107.75055796791366,1033.8256777534964
19,l6,5359,101.92620348316157,1014.273712072258
20,l6,5370,121.89541885945445,1038.7493919379108
21,l6,5375,140.2005329543896,1026.641527302131
22,l6,5376,168.4902547374712,1013.0707820673358
23,l6,5392,103.17427944417989,1040.1973846294197
24,l6,5397,83.20506406788701,1033.3672712391
25,l6,5403,176.81076114425989,1012.6061849519468
26,l6,5424,62.40379805091525,999.9957615323527
27,l6,5430,148.5210393611783,1040.1536277859407
28,l6,5431,131.46400122726146,1029.9756584185338
29,l6,5432,178.47486242561763,1003.8905888873406
30,l6,5436,129.79989994590372,1018.16201671291
31,l6,5444,136.87233039167413,1033.453524507846
32,l6,5484,99.8460768814644,1037.8314842673801
33,l6,5485,265.42415437655956,1028.2455039760046
34,l6,5496,230.478027468047,1020.8132013448137
35,l6,5499,199.27612844258937,1007.8174119409753
36,l6,5508,116.4870896950418,1016.6701060549109
37,l6,5509,82.37301342720814,1004.415951156198
38,l6,5528,96.1018489984095,1035.0853537154335
39,l6,5540,146.02488743914168,1023.7008627108934
40,l6,5541,147.27296340016,1009.9116736258811
41,l6,5550,48.25893715937446,996.4067391905205
42,l6,5555,206.34855888835978,1030.9376921584906
43,l6,5556,157.25757108830643,990.93342226711
44,l6,5563,251.69531880535817,997.5715920077242
45,l6,5577,172.2344826205261,1036.0120191308042
46,l6,5581,125.22362142216994,993.8891732212638
47,l6,5587,173.89858390188382,987.5461111752747
48,l6,5597,197.1960018408922,1002.0511940563712
49,l6,5606,110.24670988995028,1025.3586414072702
50,l6,5618,107.75055796791366,1011.8134553952044
51,l6,5625,173.4825585815444,1023.1216088519027
52,l6,5626,129.79989994590372,997.4233333044496
53,l6,5630,198.02805248157105,1025.343834346424
54,l6,5637,143.9447608374445,1016.5304141792888
55,l6,5638,99.01402624078553,1016.6524530868431
56,l6,5639,113.9909377730052,986.7038419558921
57,l6,5649,141.86463423574733,1013.0949528931836
58,l6,5650,115.2390137340235,1007.2281157046307
59,l6,5654,133.54412782895864,1037.725395253377
60,l6,5655,125.63964674250937,1034.7099077328205
61,l6,5656,172.2344826205261,1002.1273107672502
62,l6,5664,56.579443566163164,980.4804171069145
63,l6,5666,145.60886211880225,995.3174425281293
64,l6,5672,106.08645668655593,1027.9045468342135
65,l6,5673,97.76595027976722,1018.1298854359567
66,l6,5674,106.91850732723479,990.7747270508421
67,l6,5681,147.27296340016,1028.1014655353836
68,l6,5689,129.3838746255643,977.7875142626407
69,l6,5693,54.49931696446599,1011.8762847905757
70,l6,5699,93.60569707637288,1015.6306892859911
71,l6,5708,155.17744448660926,1018.7983217795837
72,l6,5723,160.58577365102192,978.2536051377825
73,l6,5733,113.57491245266576,975.6656058052017
74,l6,5737,173.06653326120497,1028.0739601402497
75,l6,5738,133.96015314929807,1003.5090959754565
76,l6,5743,138.1204063526924,1017.4179392650352
77,l6,5744,127.30374802386712,1006.6475377301491
78,l6,5745,90.2774945136574,976.1967038880563
79,l6,5754,284.1452937918341,1026.7320679288298
80,l6,5755,155.17744448660926,999.3067116021314
81,l6,5756,121.89541885945445,996.3114721818567
82,l6,5757,168.07422941713173,987.9462882785792
83,l6,5767,83.62108938822644,1011.25404907898
84,l6,5782,105.67043136621649,1007.5560897123604
85,l6,5783,154.76141916626983,1002.2810822463019
86,l6,5787,127.71977334420654,996.0001305296994
87,l6,5792,106.50248200689536,1026.9535222739216
88,l6,5793,109.83068456961084,1026.311602913713
89,l6,5794,114.40696309334463,982.0204836701724
90,l6,5795,116.90311501538123,977.9204382210586
91,l6,5796,110.66273521028971,972.6885613764505
92,l6,5799,117.31914033572068,1008.8467408928121
93,l6,5811,126.05567206284881,963.6256820270219
94,l6,5815,66.14802593397016,966.8426351219384
95,l6,5823,183.0511409493514,1021.9247750273614
96,l6,5824,171.81845730018665,984.4172416528722
97,l6,5825,140.2005329543896,974.8041665966939
98,l6,5826,62.819823371254685,967.5435047112616
99,l6,5831,160.58577365102192,988.7728047113545
100,l6,5840,114.82298841368406,966.9014308077443
101,l6,5849,277.9049139867426,1012.8681183468512
102,l6,5850,155.5934698069487,1014.9478917724177
103,l6,5861,106.50248200689536,1019.2649315514185
104,l6,5862,107.75055796791366,1000.3780983425501
105,l6,5863,121.89541885945445,991.8162345243645
106,l6,5864,136.87233039167413,974.6766186848215
107,l6,5871,95.68582367807005,1018.3940667131485
108,l6,5872,198.4440778019105,1007.784523476363
109,l6,5873,128.13579866454597,994.7216397141093
110,l6,5874,135.20822911031638,976.4663653061394
111,l6,5875,106.91850732723479,966.1354902693707
112,l6,5881,176.81076114425989,998.5543477407907
113,l6,5897,126.05567206284881,958.1485028663359
114,l6,5901,110.24670988995028,1016.0755413847545
115,l6,5902,93.18967175603345,1015.3388961651142
