,layer,label,surface,dist
0,l6,251,67.8121272153279,801.1047907379638
1,l6,336,55.74739292548429,803.8453868467275
2,l6,347,63.23584869159412,793.3426023388868
3,l6,357,38.27432947122802,805.4819390410078
4,l6,471,52.835215683108245,804.3437499453868
5,l6,483,58.2435448475209,795.3230221222612
6,l6,504,52.41919036276881,790.1113634938463
7,l6,505,35.362152228851976,798.6354790694647
8,l6,522,50.75508908141107,777.5503162858067
9,l6,523,54.91534228480542,782.535551168324
10,l6,544,56.16341824582373,784.8719587844225
11,l6,545,28.289721783081582,808.4312204533745
12,l6,554,37.02625351020971,796.524092519328
13,l6,591,34.5301015881731,807.9448259515826
14,l6,616,49.090987800053334,810.216403490808
15,l6,623,53.66726632378712,796.5018727676609
16,l6,637,79.46083618483209,773.7352020831182
17,l6,638,40.354456072925196,811.5830450177366
18,l6,641,37.858304150888586,780.2257252489997
19,l6,642,61.98777273057582,788.846612413463
20,l6,685,53.25124100344768,796.8907355539816
21,l6,713,58.2435448475209,796.2147295458067
22,l6,720,46.17881055767729,814.2708083072563
23,l6,734,47.842911839035025,785.0235420244312
24,l6,744,34.5301015881731,770.7140188748311
25,l6,745,49.9230384407322,773.5626138380109
26,l6,746,47.842911839035025,778.8568935192417
27,l6,752,61.98777273057582,807.5301009349376
28,l6,769,47.01086119835615,800.0644215165646
29,l6,770,49.090987800053334,813.983668349386
30,l6,771,54.49931696446599,817.625622148375
31,l6,780,45.346759916998415,763.6792851880501
32,l6,781,56.9954688865026,788.327332579711
33,l6,789,64.48392465261243,771.3306268255337
34,l6,797,48.25893715937446,764.6168989547202
35,l6,805,36.610228189870284,752.2897230056976
36,l6,809,54.91534228480542,755.1219952953297
37,l6,817,37.858304150888586,767.7093253731555
38,l6,831,51.17111440175051,776.5746158081269
39,l6,846,57.41149420684203,755.6939588190604
40,l6,847,65.73200061363073,797.4496015354624
41,l6,848,42.01855735428293,810.6763927540349
42,l6,849,56.9954688865026,814.1623139134401
43,l6,869,43.68265863564068,786.2838002227965
44,l6,877,30.785873705118192,799.1857662644043
45,l6,888,44.93073459665898,820.7364469315087
46,l6,896,80.29288682551096,753.9207234173082
47,l6,908,49.090987800053334,758.2003906343143
48,l6,909,54.49931696446599,769.4373942105361
49,l6,940,55.74739292548429,741.8904897156638
50,l6,941,56.16341824582373,746.6689728634473
51,l6,967,119.81529225775728,798.0026281541442
52,l6,974,58.65957016786034,776.2438019183373
53,l6,984,60.323671449218075,792.3032461918771
54,l6,988,40.77048139326463,768.0989735606325
55,l6,989,51.17111440175051,782.7073970467685
56,l6,993,22.049341977990057,747.7598083331039
57,l6,994,33.2820256271548,769.3602180416007
58,l6,995,38.27432947122802,815.3344814384028
59,l6,1018,44.51470927631954,755.4570550190864
60,l6,1019,71.55635509838282,816.9703835346529
61,l6,1036,45.346759916998415,759.5959626969442
62,l6,1045,40.354456072925196,732.7045046354905
63,l6,1053,56.9954688865026,746.435242647935
64,l6,1054,19.96921537629288,763.7433417306455
65,l6,1055,58.2435448475209,781.5396799308503
66,l6,1072,43.26663331530124,783.0591685012917
67,l6,1078,78.21276022381379,735.8036641378578
68,l6,1079,32.44997498647593,820.1888264913175
69,l6,1086,63.23584869159412,758.8900682628974
70,l6,1087,33.2820256271548,765.7322023889799
71,l6,1088,98.5980009204461,769.1468225780764
72,l6,1101,62.40379805091525,793.7863188602244
73,l6,1110,38.27432947122802,740.5551364020384
74,l6,1111,54.083291644126554,745.9650618818878
75,l6,1112,60.323671449218075,789.1183328495822
76,l6,1113,29.537797744099887,829.2336648695585
77,l6,1130,56.9954688865026,736.9401097666796
78,l6,1131,43.26663331530124,780.6671776105227
79,l6,1140,61.98777273057582,810.7189445662125
80,l6,1157,37.44227883054915,804.4756893284139
81,l6,1158,52.41919036276881,835.2254152029581
82,l6,1168,23.713443259347795,720.6688022077153
83,l6,1169,41.18650671360407,745.1746591443715
84,l6,1182,53.66726632378712,760.8700410395558
85,l6,1192,45.346759916998415,787.890466669316
86,l6,1196,51.17111440175051,756.0020206793979
87,l6,1197,44.098683955980114,828.9934239240195
88,l6,1203,64.89994997295186,746.3259891006346
89,l6,1204,64.06789933227299,797.5196358917481
90,l6,1205,53.25124100344768,808.2490752819132
91,l6,1217,56.9954688865026,769.8331365347816
92,l6,1233,74.05250702041943,727.8752404610505
93,l6,1234,58.2435448475209,785.6251245363616
94,l6,1235,56.579443566163164,818.6360755786523
95,l6,1246,55.331367605144855,752.9909771436666
96,l6,1253,24.9615192203661,720.5689561774059
97,l6,1263,56.9954688865026,735.4218252632683
98,l6,1271,31.201899025457625,764.1352242095309
99,l6,1276,44.93073459665898,761.3481128488928
100,l6,1277,40.77048139326463,776.688216927259
101,l6,1278,47.01086119835615,789.4874293513366
102,l6,1287,52.00316504242937,718.9488502434974
103,l6,1288,60.73969676955751,756.5000166418295
104,l6,1289,52.835215683108245,825.3783522982259
105,l5,1297,28.289721783081582,714.5728553417398
106,l6,1305,84.45314002890531,734.3905460984905
107,l6,1311,64.48392465261243,738.6917687419715
